case,returncode,height_cm,log,image,Collar to Scalp Length,Trunk Length,Crotch Height,Chest Circumference,Waist Circumference,Stomach Peak Circumference,Hip Circumference,Left Arm Length,Left Arm Wrist Girth,Left Arm Forearm Girth,Left Arm Bicep Girth,Right Arm Length,Right Arm Wrist Girth,Right Arm Forearm Girth,Right Arm Bicep Girth,Left Leg Length,Left Leg Ankle Girth,Left Leg Calf Girth,Left Leg Thigh Girth,Right Leg Length,Right Leg Ankle Girth,Right Leg Calf Girth,Right Leg Thigh Girth,issues
model_files_man,0,207.407,output\bench\testset\logs\model_files_man.txt,output\bench\testset\images\model_files_man.png,34.81,77.18,95.56,120.73,89.72,103.76,108.29,55.63,20.69,39.01,40.25,55.58,20.74,39.09,40.14,111.82,25.99,48.17,63.02,111.82,25.98,47.88,63.09,
model_files_penn-mesh-2,0,175.88,output\bench\testset\logs\model_files_penn-mesh-2.txt,output\bench\testset\images\model_files_penn-mesh-2.png,27.61,75.46,73.71,127.79,128.01,135.29,107.28,54.46,20.13,29.57,31.76,46.53,19.38,30.82,31.23,108.56,23.28,39.62,40.96,108.29,22.6,39.22,39.46,stomach_hip_1.26x
model_files_OBJ_A00-08-4914_A_2025-12-09_12-27-17,0,154.66,output\bench\testset\logs\model_files_OBJ_A00-08-4914_A_2025-12-09_12-27-17.txt,output\bench\testset\images\model_files_OBJ_A00-08-4914_A_2025-12-09_12-27-17.png,27.32,71.16,56.25,97.21,78.68,83.17,105.08,43.21,16.72,27.28,31.2,44.06,15.75,27.03,33.0,78.12,24.17,39.27,51.12,80.9,23.76,39.37,48.34,
model_files_OBJ_A00-08-4914_B_2025-12-09_12-31-25,0,154.9,output\bench\testset\logs\model_files_OBJ_A00-08-4914_B_2025-12-09_12-31-25.txt,output\bench\testset\images\model_files_OBJ_A00-08-4914_B_2025-12-09_12-31-25.png,26.87,73.41,54.69,93.23,78.0,83.0,105.18,42.03,16.61,26.24,30.83,42.09,17.37,27.11,35.6,79.06,23.91,39.36,48.02,78.38,23.59,39.56,54.89,
model_files_OBJ_A00-09-0254_2025-12-10_10-37-18,0,173.85,output\bench\testset\logs\model_files_OBJ_A00-09-0254_2025-12-10_10-37-18.txt,output\bench\testset\images\model_files_OBJ_A00-09-0254_2025-12-10_10-37-18.png,31.21,70.66,72.01,100.04,79.3,84.78,102.22,48.23,18.17,32.33,33.68,49.14,20.53,29.55,32.59,88.93,24.69,39.31,55.75,88.09,22.65,38.56,52.47,
model_files_OBJ_A00-09-0254_2025-12-10_10-38-56,0,174.27,output\bench\testset\logs\model_files_OBJ_A00-09-0254_2025-12-10_10-38-56.txt,output\bench\testset\images\model_files_OBJ_A00-09-0254_2025-12-10_10-38-56.png,31.01,66.33,76.96,106.8,79.62,85.08,102.11,45.49,18.1,33.76,36.14,45.26,20.83,30.68,33.08,93.18,24.65,39.71,58.79,93.03,22.2,37.41,56.06,
model_files_OBJ_A00-09-2104_A_2025-11-19_11-49-31,0,164.44,output\bench\testset\logs\model_files_OBJ_A00-09-2104_A_2025-11-19_11-49-31.txt,output\bench\testset\images\model_files_OBJ_A00-09-2104_A_2025-11-19_11-49-31.png,28.2,71.23,65.65,108.18,102.09,118.8,120.19,42.67,17.97,27.75,31.03,42.22,20.47,28.5,33.71,92.46,30.9,38.25,46.81,93.3,29.15,41.24,38.32,
model_files_OBJ_A00-09-2104_B_2025-11-19_11-54-21,0,164.4,output\bench\testset\logs\model_files_OBJ_A00-09-2104_B_2025-11-19_11-54-21.txt,output\bench\testset\images\model_files_OBJ_A00-09-2104_B_2025-11-19_11-54-21.png,28.72,71.01,65.07,108.55,101.65,119.79,120.64,41.32,17.68,26.65,31.08,41.61,20.55,28.89,33.4,92.74,31.27,38.81,39.84,92.26,29.73,40.97,45.94,
model_files_OBJ_CanCan011_A_2026-03-10_13-12-57,0,168.38,output\bench\testset\logs\model_files_OBJ_CanCan011_A_2026-03-10_13-12-57.txt,output\bench\testset\images\model_files_OBJ_CanCan011_A_2026-03-10_13-12-57.png,27.6,66.62,74.25,92.26,74.05,93.09,105.22,48.82,13.23,25.14,27.75,47.31,11.78,24.38,28.28,93.01,23.16,35.26,59.08,92.09,22.51,34.71,57.02,
model_files_OBJ_CanCan011_B_2026-03-10_13-17-36,0,168.86,output\bench\testset\logs\model_files_OBJ_CanCan011_B_2026-03-10_13-17-36.txt,output\bench\testset\images\model_files_OBJ_CanCan011_B_2026-03-10_13-17-36.png,27.15,71.06,70.65,89.67,74.01,91.08,104.12,50.37,13.86,25.19,27.21,48.08,11.67,24.33,28.0,94.15,23.68,35.65,59.94,93.63,22.97,34.87,58.02,
model_files_OBJ_CanCan01_A_2025-10-27_11-10-43,0,157.37,output\bench\testset\logs\model_files_OBJ_CanCan01_A_2025-10-27_11-10-43.txt,output\bench\testset\images\model_files_OBJ_CanCan01_A_2025-10-27_11-10-43.png,28.56,73.41,55.4,148.74,127.19,138.42,138.38,39.43,22.98,32.96,36.64,35.39,20.32,33.65,39.48,86.56,27.27,47.26,45.25,85.46,26.68,48.53,43.07,
model_files_OBJ_CanCan01_B_2025-10-27_11-22-43,0,156.37,output\bench\testset\logs\model_files_OBJ_CanCan01_B_2025-10-27_11-22-43.txt,output\bench\testset\images\model_files_OBJ_CanCan01_B_2025-10-27_11-22-43.png,29.08,71.02,56.41,147.03,127.35,138.56,136.88,38.97,23.67,33.53,34.26,41.25,22.58,34.36,43.03,88.83,27.54,47.93,43.69,87.56,26.94,47.35,40.1,
model_files_OBJ_CanCan02_A_2025-11-13_11-42-08,0,173.63,output\bench\testset\logs\model_files_OBJ_CanCan02_A_2025-11-13_11-42-08.txt,output\bench\testset\images\model_files_OBJ_CanCan02_A_2025-11-13_11-42-08.png,31.58,70.91,71.44,99.45,77.53,83.22,98.87,51.88,18.02,27.17,28.08,50.08,17.6,26.85,28.11,86.42,25.69,40.1,53.93,86.71,23.08,39.43,52.45,
model_files_OBJ_CanCan02_B_2025-11-13_11-50-16,0,173.03,output\bench\testset\logs\model_files_OBJ_CanCan02_B_2025-11-13_11-50-16.txt,output\bench\testset\images\model_files_OBJ_CanCan02_B_2025-11-13_11-50-16.png,32.72,67.31,73.06,97.45,75.61,81.42,98.08,49.22,16.31,25.89,26.19,48.47,12.28,21.76,24.72,88.63,25.38,39.72,53.37,88.17,23.6,38.81,51.17,wrist_asym_1.33x
model_files_OBJ_cancan07_A_2026-01-28_11-48-32,0,178.07,output\bench\testset\logs\model_files_OBJ_cancan07_A_2026-01-28_11-48-32.txt,output\bench\testset\images\model_files_OBJ_cancan07_A_2026-01-28_11-48-32.png,35.45,74.77,69.8,97.71,82.55,91.37,106.23,51.06,17.29,28.8,29.72,52.54,16.52,27.52,28.97,89.36,24.5,41.69,57.86,87.89,25.21,41.54,56.95,
model_files_OBJ_cancan07_B_2026-01-28_11-50-04,0,177.61,output\bench\testset\logs\model_files_OBJ_cancan07_B_2026-01-28_11-50-04.txt,output\bench\testset\images\model_files_OBJ_cancan07_B_2026-01-28_11-50-04.png,34.31,73.36,70.92,98.4,83.3,92.38,106.47,51.94,16.85,29.58,30.64,51.23,16.39,28.78,29.93,86.6,25.48,41.74,56.51,86.53,24.81,41.59,57.3,
model_files_OBJ_CanCan08_A_2026-02-04_12-13-30,0,183.97,output\bench\testset\logs\model_files_OBJ_CanCan08_A_2026-02-04_12-13-30.txt,output\bench\testset\images\model_files_OBJ_CanCan08_A_2026-02-04_12-13-30.png,31.49,76.71,75.79,111.04,96.21,98.09,109.2,50.16,11.85,29.2,34.5,48.56,19.1,30.43,32.38,97.54,28.28,42.73,61.12,95.81,25.29,41.9,59.82,wrist_asym_1.61x
