source_file,subject_id,slice_csv,aligned_obj,slice_profile_image,biomarker_method_image,three_d_view_image,three_d_view_front,three_d_view_side,three_d_view_back,three_d_view_top_tilt,interactive_3d_html,num_vertices_original,num_faces_original,num_vertices_aligned,num_faces_aligned,height_mesh_units,crotch_z_mesh_units,crotch_height_percent,n_slices_requested,n_slices_with_loops,percent_slices_with_loops,mean_num_loops,max_sum_perimeter,max_sum_area
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-08-4914_A 2025-12-09_12-27-17.obj,A00-08-4914_A_2025-12-09_12-27-17,results/slices/A00-08-4914_A_2025-12-09_12-27-17_slices.csv,results/aligned_obj/A00-08-4914_A_2025-12-09_12-27-17_aligned.obj,results/images/A00-08-4914_A_2025-12-09_12-27-17_slice_profile.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_biomarker_method.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_3d_view.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_3d_view_front.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_3d_view_side.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_3d_view_back.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_3d_view_top_tilt.png,results/images/A00-08-4914_A_2025-12-09_12-27-17_interactive_3d.html,5005,9998,5005,9998,1548.1418767533091,998.9793889140323,64.52763819095478,200,200,100.0,1.86,1591.3912506824845,90592.69209598342
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-08-4914_B 2025-12-09_12-31-25.obj,A00-08-4914_B_2025-12-09_12-31-25,results/slices/A00-08-4914_B_2025-12-09_12-31-25_slices.csv,results/aligned_obj/A00-08-4914_B_2025-12-09_12-31-25_aligned.obj,results/images/A00-08-4914_B_2025-12-09_12-31-25_slice_profile.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_biomarker_method.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_3d_view.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_3d_view_front.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_3d_view_side.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_3d_view_back.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_3d_view_top_tilt.png,results/images/A00-08-4914_B_2025-12-09_12-31-25_interactive_3d.html,4997,9990,4997,9990,1551.5956979921548,1001.2080581867968,64.52763819095476,200,200,100.0,1.825,1585.003936540862,89788.5068500563
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-0254 2025-12-10_10-37-18.obj,A00-09-0254_2025-12-10_10-37-18,results/slices/A00-09-0254_2025-12-10_10-37-18_slices.csv,results/aligned_obj/A00-09-0254_2025-12-10_10-37-18_aligned.obj,results/images/A00-09-0254_2025-12-10_10-37-18_slice_profile.png,results/images/A00-09-0254_2025-12-10_10-37-18_biomarker_method.png,results/images/A00-09-0254_2025-12-10_10-37-18_3d_view.png,results/images/A00-09-0254_2025-12-10_10-37-18_3d_view_front.png,results/images/A00-09-0254_2025-12-10_10-37-18_3d_view_side.png,results/images/A00-09-0254_2025-12-10_10-37-18_3d_view_back.png,results/images/A00-09-0254_2025-12-10_10-37-18_3d_view_top_tilt.png,results/images/A00-09-0254_2025-12-10_10-37-18_interactive_3d.html,4995,9986,4995,9986,1741.8802808967807,1123.9942053766613,64.52763819095476,200,200,100.0,2.01,1716.9607199840489,88173.81579012843
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-0254 2025-12-10_10-38-56.obj,A00-09-0254_2025-12-10_10-38-56,results/slices/A00-09-0254_2025-12-10_10-38-56_slices.csv,results/aligned_obj/A00-09-0254_2025-12-10_10-38-56_aligned.obj,results/images/A00-09-0254_2025-12-10_10-38-56_slice_profile.png,results/images/A00-09-0254_2025-12-10_10-38-56_biomarker_method.png,results/images/A00-09-0254_2025-12-10_10-38-56_3d_view.png,results/images/A00-09-0254_2025-12-10_10-38-56_3d_view_front.png,results/images/A00-09-0254_2025-12-10_10-38-56_3d_view_side.png,results/images/A00-09-0254_2025-12-10_10-38-56_3d_view_back.png,results/images/A00-09-0254_2025-12-10_10-38-56_3d_view_top_tilt.png,results/images/A00-09-0254_2025-12-10_10-38-56_interactive_3d.html,4993,9986,4993,9986,1746.506429016436,1126.9793494974901,64.52763819095478,200,200,100.0,1.915,1690.4354961497836,89295.82541917787
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_A 2025-11-19_11-49-31.obj,A00-09-2104_A_2025-11-19_11-49-31,results/slices/A00-09-2104_A_2025-11-19_11-49-31_slices.csv,results/aligned_obj/A00-09-2104_A_2025-11-19_11-49-31_aligned.obj,results/images/A00-09-2104_A_2025-11-19_11-49-31_slice_profile.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_biomarker_method.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_3d_view.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_3d_view_front.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_3d_view_side.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_3d_view_back.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_3d_view_top_tilt.png,results/images/A00-09-2104_A_2025-11-19_11-49-31_interactive_3d.html,5006,10000,5006,10000,1653.497301039236,1066.9627559118005,64.52763819095478,200,200,100.0,1.91,1745.9016618184164,118690.29482075272
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/A00-09-2104_B 2025-11-19_11-54-21.obj,A00-09-2104_B_2025-11-19_11-54-21,results/slices/A00-09-2104_B_2025-11-19_11-54-21_slices.csv,results/aligned_obj/A00-09-2104_B_2025-11-19_11-54-21_aligned.obj,results/images/A00-09-2104_B_2025-11-19_11-54-21_slice_profile.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_biomarker_method.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_3d_view.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_3d_view_front.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_3d_view_side.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_3d_view_back.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_3d_view_top_tilt.png,results/images/A00-09-2104_B_2025-11-19_11-54-21_interactive_3d.html,5007,9999,5007,9999,1650.4803572616597,1065.0159933465816,64.52763819095478,200,200,100.0,1.91,1733.1263244322347,119968.13232035445
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan011_A 2026-03-10_13-12-57.obj,CanCan011_A_2026-03-10_13-12-57,results/slices/CanCan011_A_2026-03-10_13-12-57_slices.csv,results/aligned_obj/CanCan011_A_2026-03-10_13-12-57_aligned.obj,results/images/CanCan011_A_2026-03-10_13-12-57_slice_profile.png,results/images/CanCan011_A_2026-03-10_13-12-57_biomarker_method.png,results/images/CanCan011_A_2026-03-10_13-12-57_3d_view.png,results/images/CanCan011_A_2026-03-10_13-12-57_3d_view_front.png,results/images/CanCan011_A_2026-03-10_13-12-57_3d_view_side.png,results/images/CanCan011_A_2026-03-10_13-12-57_3d_view_back.png,results/images/CanCan011_A_2026-03-10_13-12-57_3d_view_top_tilt.png,results/images/CanCan011_A_2026-03-10_13-12-57_interactive_3d.html,5002,10000,5002,10000,1688.9743219851525,1089.8552396287107,64.52763819095478,200,200,100.0,2.06,1670.1684512502884,85643.60054614465
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan011_B 2026-03-10_13-17-36.obj,CanCan011_B_2026-03-10_13-17-36,results/slices/CanCan011_B_2026-03-10_13-17-36_slices.csv,results/aligned_obj/CanCan011_B_2026-03-10_13-17-36_aligned.obj,results/images/CanCan011_B_2026-03-10_13-17-36_slice_profile.png,results/images/CanCan011_B_2026-03-10_13-17-36_biomarker_method.png,results/images/CanCan011_B_2026-03-10_13-17-36_3d_view.png,results/images/CanCan011_B_2026-03-10_13-17-36_3d_view_front.png,results/images/CanCan011_B_2026-03-10_13-17-36_3d_view_side.png,results/images/CanCan011_B_2026-03-10_13-17-36_3d_view_back.png,results/images/CanCan011_B_2026-03-10_13-17-36_3d_view_top_tilt.png,results/images/CanCan011_B_2026-03-10_13-17-36_interactive_3d.html,5002,10000,5002,10000,1695.5857152093922,1094.1214155278294,64.52763819095478,200,200,100.0,2.07,1676.6659936007045,84295.27331121525
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_A 2025-10-27_11-10-43.obj,CanCan01_A_2025-10-27_11-10-43,results/slices/CanCan01_A_2025-10-27_11-10-43_slices.csv,results/aligned_obj/CanCan01_A_2025-10-27_11-10-43_aligned.obj,results/images/CanCan01_A_2025-10-27_11-10-43_slice_profile.png,results/images/CanCan01_A_2025-10-27_11-10-43_biomarker_method.png,results/images/CanCan01_A_2025-10-27_11-10-43_3d_view.png,results/images/CanCan01_A_2025-10-27_11-10-43_3d_view_front.png,results/images/CanCan01_A_2025-10-27_11-10-43_3d_view_side.png,results/images/CanCan01_A_2025-10-27_11-10-43_3d_view_back.png,results/images/CanCan01_A_2025-10-27_11-10-43_3d_view_top_tilt.png,results/images/CanCan01_A_2025-10-27_11-10-43_interactive_3d.html,5002,10000,5002,10000,1576.069690314221,1017.0005474032619,64.52763819095478,200,200,100.0,1.735,2035.2663692332328,170014.97606381282
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan01_B 2025-10-27_11-22-43.obj,CanCan01_B_2025-10-27_11-22-43,results/slices/CanCan01_B_2025-10-27_11-22-43_slices.csv,results/aligned_obj/CanCan01_B_2025-10-27_11-22-43_aligned.obj,results/images/CanCan01_B_2025-10-27_11-22-43_slice_profile.png,results/images/CanCan01_B_2025-10-27_11-22-43_biomarker_method.png,results/images/CanCan01_B_2025-10-27_11-22-43_3d_view.png,results/images/CanCan01_B_2025-10-27_11-22-43_3d_view_front.png,results/images/CanCan01_B_2025-10-27_11-22-43_3d_view_side.png,results/images/CanCan01_B_2025-10-27_11-22-43_3d_view_back.png,results/images/CanCan01_B_2025-10-27_11-22-43_3d_view_top_tilt.png,results/images/CanCan01_B_2025-10-27_11-22-43_interactive_3d.html,5002,10000,5002,10000,1567.7252588303513,980.7342586522134,62.557788944723626,200,200,100.0,1.76,2044.5366891284993,172861.3051515476
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_A 2025-11-13_11-42-08.obj,CanCan02_A_2025-11-13_11-42-08,results/slices/CanCan02_A_2025-11-13_11-42-08_slices.csv,results/aligned_obj/CanCan02_A_2025-11-13_11-42-08_aligned.obj,results/images/CanCan02_A_2025-11-13_11-42-08_slice_profile.png,results/images/CanCan02_A_2025-11-13_11-42-08_biomarker_method.png,results/images/CanCan02_A_2025-11-13_11-42-08_3d_view.png,results/images/CanCan02_A_2025-11-13_11-42-08_3d_view_front.png,results/images/CanCan02_A_2025-11-13_11-42-08_3d_view_side.png,results/images/CanCan02_A_2025-11-13_11-42-08_3d_view_back.png,results/images/CanCan02_A_2025-11-13_11-42-08_3d_view_top_tilt.png,results/images/CanCan02_A_2025-11-13_11-42-08_interactive_3d.html,5002,10000,5002,10000,1740.8961621704032,1123.359176805535,64.52763819095478,200,200,100.0,2.075,1711.0261876554323,89069.74297673178
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan02_B 2025-11-13_11-50-16.obj,CanCan02_B_2025-11-13_11-50-16,results/slices/CanCan02_B_2025-11-13_11-50-16_slices.csv,results/aligned_obj/CanCan02_B_2025-11-13_11-50-16_aligned.obj,results/images/CanCan02_B_2025-11-13_11-50-16_slice_profile.png,results/images/CanCan02_B_2025-11-13_11-50-16_biomarker_method.png,results/images/CanCan02_B_2025-11-13_11-50-16_3d_view.png,results/images/CanCan02_B_2025-11-13_11-50-16_3d_view_front.png,results/images/CanCan02_B_2025-11-13_11-50-16_3d_view_side.png,results/images/CanCan02_B_2025-11-13_11-50-16_3d_view_back.png,results/images/CanCan02_B_2025-11-13_11-50-16_3d_view_top_tilt.png,results/images/CanCan02_B_2025-11-13_11-50-16_interactive_3d.html,5002,10000,5002,10000,1736.3544625753943,1120.4285253231476,64.52763819095478,200,200,100.0,2.12,1558.3966249338216,83071.25191740756
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan08_A 2026-02-04_12-13-30.obj,CanCan08_A_2026-02-04_12-13-30,results/slices/CanCan08_A_2026-02-04_12-13-30_slices.csv,results/aligned_obj/CanCan08_A_2026-02-04_12-13-30_aligned.obj,results/images/CanCan08_A_2026-02-04_12-13-30_slice_profile.png,results/images/CanCan08_A_2026-02-04_12-13-30_biomarker_method.png,results/images/CanCan08_A_2026-02-04_12-13-30_3d_view.png,results/images/CanCan08_A_2026-02-04_12-13-30_3d_view_front.png,results/images/CanCan08_A_2026-02-04_12-13-30_3d_view_side.png,results/images/CanCan08_A_2026-02-04_12-13-30_3d_view_back.png,results/images/CanCan08_A_2026-02-04_12-13-30_3d_view_top_tilt.png,results/images/CanCan08_A_2026-02-04_12-13-30_interactive_3d.html,4995,9988,4995,9988,1840.8088177433342,1187.8304537006106,64.52763819095476,200,200,100.0,1.955,1744.4265751618243,108275.340097701
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan08_B 2026-02-04_12-21-25.obj,CanCan08_B_2026-02-04_12-21-25,results/slices/CanCan08_B_2026-02-04_12-21-25_slices.csv,results/aligned_obj/CanCan08_B_2026-02-04_12-21-25_aligned.obj,results/images/CanCan08_B_2026-02-04_12-21-25_slice_profile.png,results/images/CanCan08_B_2026-02-04_12-21-25_biomarker_method.png,results/images/CanCan08_B_2026-02-04_12-21-25_3d_view.png,results/images/CanCan08_B_2026-02-04_12-21-25_3d_view_front.png,results/images/CanCan08_B_2026-02-04_12-21-25_3d_view_side.png,results/images/CanCan08_B_2026-02-04_12-21-25_3d_view_back.png,results/images/CanCan08_B_2026-02-04_12-21-25_3d_view_top_tilt.png,results/images/CanCan08_B_2026-02-04_12-21-25_interactive_3d.html,4998,9980,4998,9980,1836.3050406117961,1184.924272688245,64.52763819095479,200,200,100.0,1.94,1728.9372837543142,106025.6365412243
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan10_A 2026-02-27_09-49-56.obj,CanCan10_A_2026-02-27_09-49-56,results/slices/CanCan10_A_2026-02-27_09-49-56_slices.csv,results/aligned_obj/CanCan10_A_2026-02-27_09-49-56_aligned.obj,results/images/CanCan10_A_2026-02-27_09-49-56_slice_profile.png,results/images/CanCan10_A_2026-02-27_09-49-56_biomarker_method.png,results/images/CanCan10_A_2026-02-27_09-49-56_3d_view.png,results/images/CanCan10_A_2026-02-27_09-49-56_3d_view_front.png,results/images/CanCan10_A_2026-02-27_09-49-56_3d_view_side.png,results/images/CanCan10_A_2026-02-27_09-49-56_3d_view_back.png,results/images/CanCan10_A_2026-02-27_09-49-56_3d_view_top_tilt.png,results/images/CanCan10_A_2026-02-27_09-49-56_interactive_3d.html,4997,9990,4997,9990,1808.5031100978736,1166.9843435561202,64.52763819095476,200,200,100.0,1.9,1922.8881665729034,144160.57607531638
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/CanCan10_B 2026-02-27_09-55-20.obj,CanCan10_B_2026-02-27_09-55-20,results/slices/CanCan10_B_2026-02-27_09-55-20_slices.csv,results/aligned_obj/CanCan10_B_2026-02-27_09-55-20_aligned.obj,results/images/CanCan10_B_2026-02-27_09-55-20_slice_profile.png,results/images/CanCan10_B_2026-02-27_09-55-20_biomarker_method.png,results/images/CanCan10_B_2026-02-27_09-55-20_3d_view.png,results/images/CanCan10_B_2026-02-27_09-55-20_3d_view_front.png,results/images/CanCan10_B_2026-02-27_09-55-20_3d_view_side.png,results/images/CanCan10_B_2026-02-27_09-55-20_3d_view_back.png,results/images/CanCan10_B_2026-02-27_09-55-20_3d_view_top_tilt.png,results/images/CanCan10_B_2026-02-27_09-55-20_interactive_3d.html,5002,10000,5002,10000,1813.807859431597,1170.4073730131222,64.52763819095475,200,200,100.0,1.93,1961.3418055390036,146099.68403684255
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/cancan07_A 2026-01-28_11-48-32.obj,cancan07_A_2026-01-28_11-48-32,results/slices/cancan07_A_2026-01-28_11-48-32_slices.csv,results/aligned_obj/cancan07_A_2026-01-28_11-48-32_aligned.obj,results/images/cancan07_A_2026-01-28_11-48-32_slice_profile.png,results/images/cancan07_A_2026-01-28_11-48-32_biomarker_method.png,results/images/cancan07_A_2026-01-28_11-48-32_3d_view.png,results/images/cancan07_A_2026-01-28_11-48-32_3d_view_front.png,results/images/cancan07_A_2026-01-28_11-48-32_3d_view_side.png,results/images/cancan07_A_2026-01-28_11-48-32_3d_view_back.png,results/images/cancan07_A_2026-01-28_11-48-32_3d_view_top_tilt.png,results/images/cancan07_A_2026-01-28_11-48-32_interactive_3d.html,5002,10000,5002,10000,1783.7332210062063,1151.0009191427487,64.52763819095478,200,200,100.0,1.98,1619.2628855678936,88542.49038888208
/scratch/gsunka1/Pennington-mat/Pennington-MATLAB-Python/Python_Fall2025/model_files/OBJ/cancan07_B 2026-01-28_11-50-04.obj,cancan07_B_2026-01-28_11-50-04,results/slices/cancan07_B_2026-01-28_11-50-04_slices.csv,results/aligned_obj/cancan07_B_2026-01-28_11-50-04_aligned.obj,results/images/cancan07_B_2026-01-28_11-50-04_slice_profile.png,results/images/cancan07_B_2026-01-28_11-50-04_biomarker_method.png,results/images/cancan07_B_2026-01-28_11-50-04_3d_view.png,results/images/cancan07_B_2026-01-28_11-50-04_3d_view_front.png,results/images/cancan07_B_2026-01-28_11-50-04_3d_view_side.png,results/images/cancan07_B_2026-01-28_11-50-04_3d_view_back.png,results/images/cancan07_B_2026-01-28_11-50-04_3d_view_top_tilt.png,results/images/cancan07_B_2026-01-28_11-50-04_interactive_3d.html,4995,9986,4995,9986,1780.798651326198,1149.1073106371714,64.52763819095478,200,200,100.0,1.985,1579.9987013133043,89882.52755435466
