SubjectID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190
01ADL0001,-3.702041781,0.466639808,1.97278345,4.669961076,0.690543241,-0.830061029,-0.006563706,3.052681336,-0.271927798,0.038355072,-0.24106288,-0.220061931,-0.173304449,0.130150354,-0.302593274,0.580172478,0.6854479,-0.2888104,0.249293902,-0.42500722,0.542966472,-0.044821569,0.894352072,-0.116697752,0.17535323,-0.062207244,-0.365752501,0.032416402,-0.127400735,-0.336266584,-0.077855333,0.17083991,-0.254683374,-0.010007217,-0.392995577,-0.667074147,0.246601893,-0.072551447,-0.42785111,-0.080668163,0.087777037,0.788793065,0.199925432,0.16502312,-0.135256994,-0.049506026,0.19114863,-0.181307069,0.137391068,-0.104974794,-0.190905319,-0.264955149,-0.27600462,0.204995533,0.049682163,-0.155070082,0.122564835,0.147315211,0.049288673,-0.212182613,-0.094163098,0.106550415,-0.179615772,0.499011357,-0.114530137,-0.026310687,0.123709657,-0.149045795,-0.044176124,-0.083667849,-0.001998828,-0.10026783,0.216209732,-0.07176602,-0.148085079,0.070025079,0.067500316,0.069120362,0.136923036,-0.014058354,0.030941568,0.046219325,0.08084847,-0.054092008,0.047789764,0.290467324,0.12151276,-0.022291066,0.147407247,-0.006596939,-0.16183698,-0.279152348,0.107391326,0.020611133,0.200794105,-0.200807535,0.045769152,0.018353362,-0.000971179,0.087406244,0.153726503,-0.089627152,-0.107976236,0.025011388,0.097767715,-0.025026757,-0.178096855,-0.114576685,-0.114733206,0.005505135,0.004528433,-0.174223727,0.111191826,-0.031408807,0.199899368,0.015613765,-0.037384948,0.12270245,0.018906194,-0.09836179,-0.018315262,0.128346277,-0.086526841,0.078053052,0.07163092,0.088180478,-0.086972446,-0.065423727,0.185429153,0.046520176,-0.138025309,0.079540532,0.040834904,-0.00319808,0.047935151,-0.066500516,-0.080414282,-0.089572471,0.032216246,-0.028894036,-0.055014759,0.00092605,-0.019798123,-0.012600014,-0.047975336,0.124160235,-0.058684599,0.044351716,-0.100219355,-0.129206671,0.074421261,0.026352683,0.055224033,0.056424543,-0.030674671,-0.08901649,0.089686915,-0.085645071,-0.064900536,-0.040772746,-0.051810711,0.003096695,-0.003802239,-0.035960888,0.035563499,0.011286829,-0.031908558,0.041582006,0.07209171,-0.002653545,-0.012510725,0.024341587,-0.006128346,0.091553335,-0.051497781,-0.007281629,0.072195889,0.040646817,0.008221036,-0.004677565,-0.015176786,0.012104395,0.002021681,-0.053199776,0.07286224,-0.008235685,0.043897411,-0.01706431,0.028254828,4.59678E-15
01ADL0004,1.806420446,0.533323139,3.269699851,3.478789008,0.967714529,2.893176744,1.058082055,1.605806797,-0.983299521,2.088751542,-0.927262563,0.089751546,-0.824240686,1.329132764,0.339032009,0.141616955,-0.059518715,-0.728505172,-0.649303618,0.053522948,-0.341215926,0.431171786,0.388793297,0.431835656,-0.144517893,-0.049146189,0.593663034,0.381624193,0.379376858,0.241833666,-0.158731851,0.402162328,-0.297588015,-0.4864739,-0.476188619,-0.046540816,0.026165221,-0.199593801,-0.160565892,0.039453849,0.264961512,-0.048672272,-0.398393596,0.078190204,0.135091915,-0.277133101,-0.222570975,-0.2466815,-0.023835486,-0.008885966,-0.083566136,-0.297218721,0.141856289,0.224545891,-0.105254724,0.18751485,-0.241452414,0.016578865,0.09477733,-0.054652715,-0.172572292,-0.019746507,0.178101786,0.243226079,-0.042942863,0.126552443,0.100416348,0.185220389,0.095191436,-0.125619616,-0.093133396,0.128121308,0.063941165,-0.132898251,-0.138839758,-0.282967692,0.155397169,-0.290199205,0.206535506,0.077923291,0.061485967,0.245443859,0.105798562,0.055323064,-0.06328045,0.050594904,0.063475238,0.108496978,-0.174111344,-0.016942175,-0.066349368,0.158129887,0.10603907,0.090424078,0.153109581,-0.020358985,-0.05102797,0.067937137,0.093805335,-0.062354005,0.093955554,0.040691342,0.151436582,-0.085600261,-0.006691086,0.064127912,0.133251412,0.107826408,-0.09239788,-0.026518324,0.02412999,-0.15080509,0.092205307,-0.110739062,-0.117515108,0.030693156,0.012017323,0.06327554,-0.079933587,0.064720976,0.156010955,-0.095476558,0.178757676,-0.061466124,0.032964516,0.021091707,0.042027154,-0.162751524,-0.089010727,0.037310297,0.10963752,0.019400032,0.025208705,-0.110670924,0.082217463,0.132811448,0.023807456,-0.096710106,0.01493641,0.168942671,-0.004472661,-0.094475999,0.016256584,0.080600444,-0.000320361,-0.066294116,-0.157996115,-0.023147178,0.013738851,0.131064778,-0.024924181,-0.071544333,-0.066730447,-0.156323892,-0.035271613,0.086868867,0.035688699,0.001375261,-0.094828212,-0.02988315,0.065635582,0.051911289,-0.003763616,-0.000376387,0.049161393,-0.104944416,0.024423853,-0.023615052,0.057549021,-0.013382704,-0.03094011,0.021413333,0.077381407,-0.041644281,-0.014370851,-0.034820428,0.025524504,0.036459563,-0.030091059,0.032755145,-0.034659241,0.067491371,0.035042998,-0.038490185,0.046122555,0.010269733,-0.015312484,0.018524973,-0.062251931,1.90341E-14
01ADL0006,-3.406371746,1.25588514,4.75053326,2.818332611,-0.161500889,-0.633662548,0.639272256,-1.414214228,2.001493023,-0.671603428,-0.139912713,-0.849603196,-2.037507521,0.644036979,0.129352821,-0.88151894,0.553398236,-0.304796945,0.103108257,0.068439039,0.010504665,0.092629355,0.574286894,-0.667732106,-0.422925893,0.021168043,0.435500215,-0.378495984,-0.512784325,0.73256686,0.474628459,0.814997331,0.337303253,0.567313747,-0.210884471,-0.31117411,-0.624743971,-0.089744639,-0.197565215,0.200137859,-0.312028549,-0.506421814,0.33675701,0.059777575,0.112523676,0.083734773,0.080251608,0.132459735,-0.177503831,-0.16582931,0.110873041,-0.124440339,-0.148645283,0.005144115,-0.202536896,-0.059438439,0.154534644,-0.123631329,-0.041870959,-0.011289524,-0.066299779,0.21301944,-0.107131157,-0.114692697,0.103676114,0.101895884,-0.175856501,-0.215163942,-0.02294072,0.091707619,-0.144146727,-0.03714191,-0.043782207,0.00360551,-0.272578956,0.126618467,-0.116561773,-0.010384761,-0.115818331,-0.125962214,-0.044551533,0.033717059,-0.00780067,0.011629659,-0.009919648,-0.019703118,-0.115885306,0.150634545,-0.189855524,0.134701748,-0.034800509,0.009750586,0.045002765,0.086210568,0.114562268,-0.021073379,-0.097348538,-0.102128135,-0.031767643,0.01443481,0.202173548,0.212601647,-0.022963816,0.175695764,-0.025780828,-0.004840874,-0.075624484,0.102743031,-0.084840933,0.042210324,-0.048124263,-0.016926449,0.106782598,0.069975651,0.143188666,-0.07030162,0.074070153,-0.092815425,-0.02867459,0.022423449,-0.099383607,-0.003166302,-0.078206783,0.008297606,0.19604429,0.030277792,-0.071099887,-0.0030679,-0.089340641,0.108004867,0.016078856,0.144247469,-0.025100152,0.006005269,-0.008347801,-0.05644266,-0.012044708,0.10420636,-0.026530158,0.071408506,-0.066987732,-0.000166316,0.142325379,-0.050845639,0.050112437,0.035895052,0.058535059,-0.033343425,0.146490476,0.053577632,0.018780361,0.055796148,-0.111020596,-0.1425185,0.002485012,-0.095335616,0.015439785,-0.082322166,0.034398393,0.093388714,0.058056304,-0.060485657,-0.01052706,0.027285645,-0.038453782,-0.051483311,-0.045480421,-0.079273449,-0.016224425,0.061453195,-0.00883524,0.060732761,0.014530792,0.070405527,-0.018853219,0.025847752,-0.032222928,-0.016676437,0.038809238,-0.093609124,-0.040538777,-0.011144551,-0.03645768,-0.020166043,0.039119022,0.025558985,-0.109099756,-0.059803536,-0.079495533,7.53626E-15
01ADL0009,-18.13696641,4.937164814,3.187560986,4.323803121,-3.310221724,-0.927187901,-0.255700574,2.033460063,0.939280777,-0.642280265,-0.065720179,-0.12777745,1.560265077,1.232612294,-0.076546418,-0.177884792,0.720314275,-0.103825603,-0.421136751,-0.174462052,0.535728519,-0.077428949,0.334738168,0.797952576,0.002390937,-0.165552135,0.449731683,0.012241165,-0.481667794,-0.156213543,0.595341544,-0.459238749,0.073264558,-0.041526574,0.135308645,0.077104869,-0.428027015,0.349216995,0.356133034,0.26345356,-0.271875316,0.162457006,-0.17067004,0.16256345,0.08273802,-0.272845565,0.223309084,0.217076574,0.014455993,0.114674113,0.145347933,-0.334882767,0.177986463,-0.020170242,0.056462017,0.091756046,0.048432571,0.402827076,0.243286868,0.075941103,0.077151977,-0.113366624,-0.165422764,-0.041036401,-0.121107733,0.190573901,-0.197207263,-0.090419477,0.071529698,-0.165168594,-0.029338585,0.270460032,0.272311564,0.002388225,0.102351559,-0.26984751,0.061399204,0.177598228,-0.250745767,0.055949934,0.035179694,0.160848454,0.081300929,0.119786871,0.072125331,-0.214946639,-0.035192796,0.02590257,0.059741401,0.223399573,-0.162246201,-0.078667391,0.050068939,-0.191340728,-0.164684276,0.199168828,-0.203807103,-0.020759333,-0.038396507,-0.111513387,0.057421528,0.114263275,-0.001371114,0.023996135,-0.016842964,-0.065634689,-0.029137114,0.077513626,-0.027958986,-0.140483844,0.036755864,-0.0940947,-0.006448317,-0.030913455,0.152281723,0.027380141,-0.063387169,0.022907898,-0.14455238,-0.028049921,0.030212638,-0.078293564,0.030501219,0.037724941,0.04670962,-0.044908035,0.017464764,-0.064428293,0.076352405,0.065452147,0.036306899,-0.183667308,-0.000842216,0.175193862,0.042219717,-0.00793931,-0.038422161,0.071591427,-0.007909501,-0.065855783,-0.10310741,-0.105177729,-0.105439264,0.008997347,0.035714167,0.188333903,0.117250886,0.017535993,-0.05215835,-0.053298856,0.039876552,-0.080680142,-0.051028006,0.011317854,-0.001784573,0.033108719,0.018793016,0.03164281,0.026763647,0.011633571,0.050205475,0.00378504,0.0665089,-0.087741947,-0.009157296,-0.016957573,0.054750436,-0.044051219,-0.062535003,-0.115518008,0.040819996,-0.114046276,-0.004045774,-0.051128964,0.04162024,0.018857581,-0.022924791,0.08831488,-0.019292979,-0.007689903,-0.003579797,0.035492873,-0.026730795,0.020292141,-0.043285842,0.003293802,-0.013225024,0.006388609,-0.054257414,-1.38899E-13
01ADL0013,-8.090266496,2.736921258,0.726081137,3.557259789,-3.587909072,0.793078585,0.819623385,-0.011103647,-0.412841509,-0.267904884,0.217718864,0.483419457,1.321556106,0.446627691,-0.165625532,0.556737938,-0.217140994,-0.298048416,1.170605275,-0.410267364,-0.346831928,0.785005847,0.283331507,0.075498067,-0.640813875,0.612682973,-0.074801982,0.19423877,-0.110109734,-0.031119906,0.236593708,0.023419323,0.050443678,-0.340636088,0.257586503,0.043456463,0.140382845,0.054829107,-0.330516328,-0.027308061,-0.069647981,0.198832569,0.209924186,0.267976081,0.105100335,0.074263506,-0.159187663,-0.110300713,0.255335357,0.056243873,0.131280839,0.222716836,-0.111936233,0.011651551,0.007279478,-0.159654847,-0.274665591,0.089062935,-0.201030996,-0.016551361,0.015800992,0.030826637,0.076038003,-0.107764203,0.002422042,0.207140398,-0.129698062,0.007315784,0.107675673,0.00749377,0.045944801,0.046797514,-0.055746802,-0.166831337,0.036783191,-0.013266261,-0.053940738,-0.106761322,-0.129630516,-0.083019017,-0.043238904,0.170006066,-0.17163553,0.208340107,-0.060088814,0.173231371,-0.108341159,-0.085766964,0.009053019,0.013939404,-0.026805463,-0.001677295,-0.20674202,-0.089673182,0.088745783,-0.032819967,-0.022532802,-0.013464451,-0.04801892,0.0435882,0.072723772,-0.116617362,-0.026943779,-0.029917229,0.095319436,-0.181394263,-0.121904951,-0.049191233,0.020755391,-0.00650543,-0.007042678,-0.007737491,-0.164628829,0.040610104,0.065810751,-0.059067722,0.102656857,0.019938342,-0.124508649,-0.103252798,0.05791545,0.082642083,0.034840159,-0.199860608,0.132530019,-0.080750193,0.126614012,-0.047352433,0.061994529,0.073253833,0.133219268,0.053232779,-0.164090482,0.029348817,0.136337147,-0.022848595,-0.036115578,0.105410676,-0.0671082,-0.032983946,0.159196746,0.055350253,-0.180869983,-0.017016573,0.027198857,-0.210650266,-0.075779383,-0.005430898,-0.012025295,0.040060118,-0.045633827,0.037360217,0.018760553,0.012661584,-0.003819839,0.000720255,-0.041797324,0.087633484,-0.047069,-0.064819749,0.001650992,-0.12767297,-0.063502176,0.046063309,-0.048859215,-0.044657812,0.085779276,-0.120083313,0.032493882,-0.082021923,0.060015273,-0.00525662,-0.038542576,0.09988775,-0.020493522,0.074140449,-0.041249707,-0.040493684,0.052283762,-0.112588532,0.002954741,0.035055203,0.14195595,-0.04909031,-0.00732653,-0.086591147,-0.043612839,-0.031055615,0.067839668,7.39269E-15
01ADL0014,17.41388548,-2.895982338,6.054333332,3.482244059,-1.384535333,0.308907181,1.319085979,-3.512700034,1.800091393,-1.685592774,0.776664298,0.356557425,1.273146912,0.775839566,0.934714003,0.05242561,0.648684452,-0.805561635,-0.06339595,-0.269226077,-0.217276044,0.140290108,-0.36957866,0.326116068,0.224401029,-0.127457605,0.071777902,-0.167585049,-0.084250186,0.06225716,0.199527972,0.204935652,0.13089816,-0.20094994,-0.153821723,-0.040817239,0.244551704,-0.468503432,0.066029011,0.296706998,0.311762503,0.409660132,0.335595145,0.280190266,-0.020713189,0.053681358,-0.016154039,-0.284496107,0.188164828,-0.119060145,-0.438901406,-0.322020114,0.112062692,0.14041516,0.185157728,-0.032709912,-0.337990617,-0.094624771,0.198618097,0.1785149,-0.055656507,0.201734246,-0.10870691,0.049006415,0.107639482,0.017265397,0.07486656,-0.062175144,0.040193666,0.294332209,0.016697093,0.092578349,-0.004886925,-0.071502721,0.104689648,-0.002262992,-0.001605665,-0.134921688,0.13430236,-0.133712887,0.092894807,-0.008190632,-0.009291351,-0.117923602,0.136296057,-0.020610647,-0.01588232,0.062297753,0.032328125,0.021345285,0.061846761,-0.172142032,0.002752383,-0.259226614,0.150102515,-0.016027565,-0.152752644,-0.111134172,0.086612138,-0.076661118,-0.11675645,-0.026093039,0.011921399,-0.034384849,0.055229065,-0.056382009,-0.035670366,-0.066686415,0.118571147,-0.015000388,-0.03146608,0.042111132,0.168501112,0.077398213,0.011037041,-0.232457329,-0.041345667,0.066385056,0.135932494,0.020215755,0.034597417,0.021284497,-0.115146924,-0.019170065,-0.224536263,-0.074461005,0.164929275,-0.008436657,0.041442344,-0.052100298,-0.015389168,0.01449183,-0.025181715,-0.051588851,-0.10108856,-0.11316208,0.133784556,-0.141388618,0.004640999,0.098286656,0.029259247,-0.071031059,0.008566589,-0.04091931,0.136372566,-0.098142364,0.200166252,-0.080440447,-0.107090958,0.09334884,0.113012735,0.027515586,-0.118982505,-0.017916473,0.040387021,0.006998077,-0.052577391,-0.060699969,0.00728928,0.071421856,0.023267232,-0.040265762,-0.052229121,0.046414191,-0.042029947,-0.063606831,-0.02205379,0.034567901,-0.029221915,-0.036033886,0.031079434,-0.050177617,0.056254135,0.01345946,0.048141478,0.008266118,-0.019834348,-0.019395963,-0.04221674,0.009794875,0.114050259,-0.035710016,-0.015331057,0.060109764,-0.055549777,0.031616689,0.001611834,-0.007607253,-0.014730026,-1.25235E-14
01ADL0016,10.4292712,-0.996299094,3.038774386,3.487546255,0.180423505,0.722531375,-1.489098754,-1.041134832,1.653188136,0.839622468,-0.761186905,-1.544951337,-0.024704442,-0.206617525,-0.379277018,0.371316643,-0.434396781,-0.517248734,0.040412942,-0.121485695,0.345048761,0.287317152,0.023869837,0.288645664,0.071953612,0.075817127,0.124596208,0.684893757,0.167862325,0.166997354,0.065290762,-0.072764905,0.416911093,0.382300078,0.04277736,-0.083606066,0.15577998,0.136411218,-0.002017663,-0.291239808,0.150501453,0.397669338,0.078399301,-0.256158673,0.312925505,-0.157420698,-0.233974716,0.301581556,0.179853458,-0.061929472,-0.05924353,-0.173034483,0.260795511,0.040379796,-0.118087681,-0.066403834,-0.013012958,0.032260102,-0.205778724,0.225062634,-0.374085195,-0.132178791,-0.234464368,-0.231437026,-0.00527325,-0.099444271,-0.02183732,-0.090769355,0.066947398,-0.054602288,-0.003453029,0.057027234,0.223747947,0.089666479,0.122795547,0.071286771,0.170644666,0.063403969,-0.155318578,0.108753778,-0.042219365,-0.102298108,0.048896302,-0.191961185,0.097108102,-0.057222795,-0.071638598,-0.026959534,0.096645161,-0.038343492,0.002660153,-0.109858038,-0.035333094,-0.017417437,0.162722177,0.027934602,-0.013285957,0.135024888,-0.051061837,0.009951676,-0.086671454,-0.063232921,-0.049928515,0.018735748,0.015971186,0.100231066,0.014833606,-0.001937961,-0.130204745,0.22794709,-0.063711632,0.043328979,0.036967243,0.086532635,-0.208332715,-0.069538276,-0.026361611,0.017641038,-0.074994272,-0.241570409,-0.013461024,0.016901011,0.143059066,-0.065486761,0.036326934,-0.023056038,-0.254570392,-0.016939605,-0.077468349,-0.172337844,0.079101424,-0.010051186,-0.056821426,-0.050219924,-0.133370172,-0.105352761,-0.020377327,0.02014,0.069860345,-0.092087755,0.048737405,-0.131409978,0.040877104,-0.000119106,0.056838093,0.0201624,0.049505518,-0.051813542,0.093315246,-0.031879522,-0.151852093,-0.01442605,0.093600306,-0.02013812,-0.025014284,0.076135129,0.080056822,0.100409415,-0.097720622,0.157379781,-0.034193188,0.071951749,0.02250229,-0.016835544,0.010561742,-0.066357556,0.003585741,-0.00699408,0.100183812,0.076238608,0.11213545,-0.039628209,0.082590917,0.04642714,-0.00586188,0.003925912,0.089634656,0.053330096,-0.000493638,-0.029424068,-0.039441376,-0.096542263,0.053309655,-0.023412155,-0.073993737,-0.023877555,-0.0527179,-0.028164386,0.022921774,6.05421E-14
01ADL0021,11.22017346,-0.354866113,-1.374051297,3.346505116,-1.899602712,-0.665690982,-1.100050267,0.019610903,0.861463098,-0.70294486,0.160435446,-0.54033463,0.545273285,0.410497679,0.499339745,0.789942958,0.357434875,0.573878348,0.003088514,-0.532659144,0.361434726,-0.409360838,-0.008187791,-0.349810463,-0.22181562,0.275181227,-0.179582644,-0.136931836,0.314835913,0.078099381,-0.021250125,0.077908304,0.026632858,-0.169249931,-0.253732249,0.217156293,-0.005717671,-0.148901567,0.157772372,0.078956811,0.124688761,-0.082776967,-0.201121953,0.236438401,0.270643734,-0.197423853,0.007948875,0.07873659,-0.067888057,0.320030067,0.068356438,-0.02067928,0.263102523,0.13634334,-0.163197864,-0.185137215,-0.224745569,0.141616815,0.044508929,-0.123877506,0.058493386,0.096468958,0.191409881,-0.078298608,-0.082398187,0.130677576,-0.142328783,0.273876701,0.133628477,0.133545271,0.056314504,-0.182754783,0.045313349,0.085907147,-0.0618735,0.100044521,0.05549337,-0.110853023,0.019003393,-0.041696154,0.090217931,0.000810845,0.016762366,-0.087055794,0.119518154,0.026248665,0.09622435,-0.042118956,-0.122563719,-0.142606413,-0.120784727,0.035293263,-0.064490059,-0.052614149,-0.114715929,0.066870172,0.018046825,0.256602193,0.034246484,0.047307376,0.077447996,-0.032832234,-0.011779184,-0.124236701,-0.040217882,0.110673319,-0.086237191,-0.015421939,-0.045362472,0.025066549,0.039140296,0.024710097,0.046573343,-0.091311661,0.112362978,0.116346406,-0.038157747,0.048217751,0.100891845,0.043026739,0.057236432,0.104170423,-0.039768025,-0.101683775,0.033703069,-0.014142339,-0.009000495,-0.01255835,-0.059550302,-0.072756546,-0.119696621,0.0647422,0.043600796,0.164543571,0.039500469,0.011487348,-0.113161921,0.122141297,-0.047044344,0.015764642,0.083926222,0.031610416,-0.030397883,-0.109909157,0.073890229,-0.025759267,0.002645287,-0.160444637,-0.044710601,-0.070902292,0.07840555,-0.079797166,0.031190931,-0.083994822,0.118609016,0.025634029,0.012389131,0.051759395,0.120597203,0.130451256,-0.159333708,-0.005752621,0.048891032,-0.026101257,-0.053421568,0.045367959,0.026069966,0.095125232,-0.064563741,0.031429178,-0.035046934,0.007940796,0.058372566,-0.080440827,0.006653543,0.0479793,0.040769087,-0.042694346,0.17390154,0.06972728,-0.040155056,-0.110268917,0.122384735,0.034472588,0.14613606,0.142504899,-0.070247239,0.049223508,-0.030327287,5.80197E-14
01ADL0026,7.09374609,-1.516394077,-0.753553124,3.972128973,2.471130939,-3.626193835,-0.21439604,-1.57038296,-0.494295876,0.970292371,-0.346561686,-1.341439129,-0.756987676,-0.600614167,-0.557481697,0.646722288,-0.679930383,-0.5265038,-0.196168892,0.210013711,0.852125708,0.054628224,-0.23741005,0.128505092,0.517332051,0.316060325,0.739853757,-0.135879173,-0.309279635,-0.470165585,0.264028297,0.287819933,0.028101614,-0.01732661,-0.430452463,0.315865074,-0.017314811,-0.090521168,0.269361046,-0.029998238,-0.197400244,0.026110664,0.298692216,0.410239862,0.276528572,0.073514984,0.045761993,0.238609165,-0.335701621,0.319874261,-0.028664549,-0.047041629,0.049412113,0.007755465,-0.010862981,0.325847248,-0.291872292,-0.174283466,-0.065799617,-0.081372841,-0.002176046,-0.192856184,0.020420466,0.16744015,0.067519327,-0.326297948,-0.108053687,-0.140648693,-0.209079274,0.022711742,0.031564611,0.367359629,0.059439728,-0.062008368,-0.11652999,-0.109372864,0.116799597,-0.081344929,0.087918302,-0.015888949,0.027466914,-0.009339488,-0.248337858,0.001820341,-0.048385504,-0.124157151,-0.031514449,-0.089833098,-0.170812086,-0.103047066,0.152507968,0.038714534,0.039623257,0.137290415,-0.158883012,-0.039126659,-0.186553627,-0.157696262,-0.123023085,0.00448903,-0.086711082,0.215154221,0.027909451,0.011945723,0.006049882,-0.153320191,0.060934634,-0.044516003,0.071087834,0.094252108,0.029644488,0.213287431,-0.03798334,0.023937963,0.041249438,-0.081009827,0.021735221,-0.047412143,-0.094313868,0.096750448,0.063465988,0.291142182,0.019968761,0.109822687,0.104948082,0.122099077,0.062266396,0.10878715,0.095996704,-0.17241984,-0.041347922,0.055441801,-0.110889541,0.036953199,-0.014527574,0.092527119,0.071198953,-0.047279554,0.033341394,0.100266196,0.084698659,0.031724414,-0.087682133,-0.013933523,-0.025596517,0.020926714,-0.116319904,0.046288817,0.006813932,-0.185628434,0.0365673,0.004447962,0.012351798,-0.021384819,0.073622529,-0.045347352,0.02878967,-0.072771312,-0.124140395,0.047777128,-0.029715766,0.066464534,-0.049426983,-0.020758992,-0.02644562,0.014308952,0.075255824,-0.038788845,-0.028817962,-0.063018564,-0.00450399,-0.037517296,-0.048356456,0.013293398,0.059056736,-0.045722408,0.051185682,0.023328123,-0.007560728,0.032341611,-0.040016255,-0.008583638,0.02441897,-0.027392395,-0.01314677,0.038261468,0.021877946,-0.010391558,0.030988089,4.04664E-14
01ADL0027,-15.02410641,1.32100113,0.741437381,3.86572388,1.7036898,0.806765946,-2.870331854,2.128873583,0.347090708,-0.941195603,-1.069218289,-0.234477241,-1.000028398,-0.093255182,0.78755454,1.114246232,-0.49895166,-0.260787543,0.69704581,-0.49072595,0.15772107,-0.004233286,0.101305014,-0.732589437,0.063406742,0.572178869,-0.007281567,0.49258106,-0.048245291,-0.30499946,-0.312274059,0.061631821,-0.395362474,0.362866121,-0.327923817,-0.200303925,0.443564871,-0.131927511,0.238173911,-0.562724035,0.119855565,-0.488655777,0.250655545,0.26201918,0.081333418,-0.058586554,0.188634354,0.004869808,0.039287856,0.145274694,-0.028415306,-0.0364119,-0.016648761,0.233635669,-0.061158668,0.247476019,0.128321039,-0.198313249,0.23840303,-0.044415773,-0.301209599,0.202215107,0.101891495,-0.156444348,0.101343923,0.058430756,0.228605359,0.114150829,0.278026901,0.014998179,-0.033817166,-0.054534902,-0.163288635,0.189809944,-0.088351295,0.096643783,0.089990458,0.342086623,-0.229499325,-0.167515388,-0.119402467,0.23133522,0.100941936,0.011603378,0.065881484,0.098511037,0.008015886,-0.078048228,-0.060739541,-0.029615477,-0.09345612,0.050696324,0.144387105,-0.013666637,0.113440364,0.117571737,-0.264415461,0.009678128,-0.09334402,-0.155934272,-0.145697324,-0.096681748,0.076739481,-0.174413716,-0.012392857,-0.094570215,0.03890663,-0.0484106,0.098096054,-0.089635362,0.209689915,-0.044374662,0.016095137,-0.042430473,0.116775029,-0.124303135,-0.084113951,-0.115432507,0.121242929,-0.01892163,-0.053036685,-0.012048774,0.077481493,-0.040327255,-0.010349138,0.007364373,-0.066873537,0.095651191,-0.013651208,-0.062328677,0.049687123,-0.130821091,-0.016312669,-0.004975705,-0.074093662,0.038023774,-0.039854117,-0.167131441,0.000282704,-0.097798148,0.001448884,0.146854961,0.109262444,0.174961822,-0.113042271,-0.035067265,0.030513088,0.133844064,0.062765532,0.032682326,-0.01299154,-0.039091327,-0.050875783,0.026461806,-0.050533192,-0.035007088,-0.061988872,0.08763606,0.007566461,0.046838937,-0.040398716,-0.010925141,-0.034533186,-0.017727665,-0.105131099,0.00800219,-0.031343345,-0.056319268,-0.066288488,-0.043008059,0.056765122,-0.014554803,0.010187402,0.004699861,-0.016064067,-0.011492674,-0.045492652,0.003170357,0.081260554,0.007174574,0.047353268,0.031702587,-0.012483963,-0.014669827,0.04375224,0.003834598,0.029916494,-0.001190535,-0.007028011,-2.55475E-14
