,train,test,activation,hidden_layer_sizes,Data Transformers
0,"[0.84644793790699, 0.8861222843840464, 0.7451207665311725]","[0.84644793790699, 0.8861222843840464, 0.7451207665311725]",logistic,"(1,)",age
1,"[0.8471910584229504, 0.8834604843754436, 0.7553845713724312]","[0.8471910584229504, 0.8834604843754436, 0.7553845713724312]",logistic,"(2,)",age
2,"[0.8855302896460187, 0.8686797602648377, 0.7159728022540246]","[0.8855302896460187, 0.8686797602648377, 0.7159728022540246]",logistic,"(3,)",age
3,"[0.7926511242316907, 0.8953543222078384, 0.6630368768592783]","[0.7926511242316907, 0.8953543222078384, 0.6630368768592783]",logistic,"(4,)",age
4,"[0.8677769885073264, 0.9036649556316287, 0.6416018119152065]","[0.8677769885073264, 0.9036649556316287, 0.6416018119152065]",logistic,"(5,)",age
5,"[0.8341529700165273, 0.8508510259903479, 0.6040644159222286]","[0.8341529700165273, 0.8508510259903479, 0.6040644159222286]",logistic,"(6,)",age
6,"[0.8504441504887928, 0.8662255543220622, 0.6413144666993182]","[0.8504441504887928, 0.8662255543220622, 0.6413144666993182]",logistic,"(7,)",age
7,"[0.7973045608742566, 0.8835146140312921, 0.7094994409665097]","[0.7973045608742566, 0.8835146140312921, 0.7094994409665097]",logistic,"(8,)",age
8,"[0.823605970455349, 0.8400490738833499, 0.6354521225280119]","[0.823605970455349, 0.8400490738833499, 0.6354521225280119]",logistic,"(9,)",age
9,"[0.7979423207526667, 0.9043364092842272, 0.6082379668298682]","[0.7979423207526667, 0.9043364092842272, 0.6082379668298682]",logistic,"(10,)",age
10,"[0.80884517803819, 0.8579623250582796, 0.5792212955651541]","[0.80884517803819, 0.8579623250582796, 0.5792212955651541]",logistic,"(11,)",age
11,"[0.8094080082928707, 0.8841209005468285, 0.5685843198971476]","[0.8094080082928707, 0.8841209005468285, 0.5685843198971476]",logistic,"(12,)",age
12,"[0.8475337510663166, 0.8624544474440545, 0.5971748485094588]","[0.8475337510663166, 0.8624544474440545, 0.5971748485094588]",logistic,"(13,)",age
13,"[0.8342735111011336, 0.8713573224122286, 0.6572448298053197]","[0.8342735111011336, 0.8713573224122286, 0.6572448298053197]",logistic,"(14,)",age
14,"[0.8435572026087137, 0.8869204904905343, 0.5499016296947603]","[0.8435572026087137, 0.8869204904905343, 0.5499016296947603]",logistic,"(15,)",age
15,"[0.8444105648470361, 0.8980909577324815, 0.696873442464935]","[0.8444105648470361, 0.8980909577324815, 0.696873442464935]",relu,"(1,)",age
16,"[0.7562101315232481, 0.8815788528178705, 0.7433144214251687]","[0.7562101315232481, 0.8815788528178705, 0.7433144214251687]",relu,"(2,)",age
17,"[0.7894277244785046, 0.8777908576129178, 0.6806302612000348]","[0.7894277244785046, 0.8777908576129178, 0.6806302612000348]",relu,"(3,)",age
18,"[0.8242126593053523, 0.8597348227016233, 0.6131125711187465]","[0.8242126593053523, 0.8597348227016233, 0.6131125711187465]",relu,"(4,)",age
19,"[0.8417968470917387, 0.7649664105117565, 0.6221588947602731]","[0.8417968470917387, 0.7649664105117565, 0.6221588947602731]",relu,"(5,)",age
20,"[0.7555821586998238, 0.7891898218316776, 0.7077119236181767]","[0.7555821586998238, 0.7891898218316776, 0.7077119236181767]",relu,"(6,)",age
