source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth,left_max_perimeter,right_max_perimeter,left_sum_area,right_sum_area
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,0,15.515956979921548,1.0,2,517.7139893437595,1032.3649750248153,14904.279779776873,29344.22656902985,380.9014033455343,229.46456152889985,514.6509856810558,517.7139893437595,14904.279779776873,14439.94678925298
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,1,23.156981020284924,1.492462311557789,2,477.3604818069748,950.9323228810323,12700.892512645383,24811.18819816231,369.8049117367477,213.45427785667158,477.3604818069748,473.5718410740575,12700.892512645383,12110.295685516925
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,2,30.798005060648297,1.9849246231155777,2,430.24645860912426,859.6683743634828,10342.444387647556,20548.204349958778,350.55000711652133,195.70215063113085,429.42191575435857,430.24645860912426,10342.444387647556,10205.759962311222
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,3,38.43902910101167,2.477386934673367,2,387.3567375648302,770.1673242719742,8598.857609039362,17052.777286324308,328.4290267086668,179.70342398001486,387.3567375648302,382.8105867071439,8598.857609039362,8453.919677284946
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,4,46.080053141375046,2.9698492462311554,2,340.759541224127,675.5225567762112,7102.7648636793165,14048.244538045525,310.0936683320083,160.75868206691968,340.759541224127,334.7630155520842,7102.7648636793165,6945.479674366208
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,5,53.72107718173842,3.4623115577889445,2,297.1278069008881,589.2366138802399,5816.394534585885,11452.79425880931,304.7069549410637,139.00335826944894,297.1278069008881,292.1088069793518,5816.394534585885,5636.399724223425
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,6,61.36210122210179,3.954773869346733,2,263.6707167965395,522.6053096697244,4880.22939914446,9589.55588651137,300.76890553627766,120.4301648213273,263.6707167965395,258.93459287318495,4880.22939914446,4709.32648736691
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,7,69.00312526246518,4.447236180904523,2,245.87908580946905,486.32454837701323,4438.590696630177,8652.762578376358,297.08206274430296,110.5165604552479,245.87908580946905,240.44546256754418,4438.590696630177,4214.171881746181
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,8,76.64414930282854,4.939698492462311,2,241.13044265898017,478.03049473925626,4312.442878727576,8458.475522038578,298.7635920355667,107.0016443221416,241.13044265898017,236.90005208027605,4312.442878727576,4146.032643311002
data\obj\A00-08-4914_B 2025-12-09_12-31-25.obj,9,84.28517334319193,5.432160804020101,2,239.67343880408194,478.84105837407395,4357.61522904411,8616.609750720716,300.4544745828514,104.313571776231,239.67343880408194,239.167619569992,4357.61522904411,4258.994521676606
