source_file,slice_index,z,height_percent,num_loops,max_perimeter,sum_perimeter,max_area,sum_area,width,depth,left_max_perimeter,right_max_perimeter,left_sum_area,right_sum_area
data\obj\cancan07_B 2026-01-28_11-50-04.obj,0,17.807986513261984,1.0,2,649.3889626972318,1263.6834981241964,24826.432578627777,46776.46924349909,482.67677765505005,280.21531344445003,614.2945354269644,649.3889626972318,21950.03666487131,24826.432578627777
data\obj\cancan07_B 2026-01-28_11-50-04.obj,1,26.57774871577291,1.4924623115577889,2,612.9985280802459,1181.6989347258423,21707.23448952887,40572.75712634482,463.12502501756586,268.3147493165312,568.7004066455964,612.9985280802459,18865.52263681595,21707.23448952887
data\obj\cancan07_B 2026-01-28_11-50-04.obj,2,35.34751091828383,1.9849246231155777,2,547.8406174253945,1052.5305267867436,17501.019652534145,32494.379510851977,433.7918066642811,242.5596094708472,504.6899093613492,547.8406174253945,14993.359858317832,17501.019652534145
data\obj\cancan07_B 2026-01-28_11-50-04.obj,3,44.11727312079476,2.477386934673367,2,489.009713652889,945.5194338782508,13890.005239502454,26342.558901378696,406.1515416327675,216.90308469523768,456.5097202253618,489.009713652889,12452.553661876242,13890.005239502454
data\obj\cancan07_B 2026-01-28_11-50-04.obj,4,52.88703532330568,2.9698492462311554,2,436.6471755736361,850.9898237470688,11328.2955402146,21903.724265754394,382.5155465181425,195.583382553008,414.3426481734327,436.6471755736361,10575.428725539794,11328.2955402146
data\obj\cancan07_B 2026-01-28_11-50-04.obj,5,61.656797525816614,3.462311557788945,2,389.39283946620367,763.7123960768461,9421.680951990347,18455.06515528944,364.01099097491544,175.47465167107572,374.31955661064245,389.39283946620367,9033.384203299094,9421.680951990347
data\obj\cancan07_B 2026-01-28_11-50-04.obj,6,70.42655972832753,3.954773869346733,2,346.33683424742765,684.4377924744318,7782.141606981633,15529.903995958128,347.50701915481,154.5754232052969,338.1009582270042,346.33683424742765,7747.762388976495,7782.141606981633
data\obj\cancan07_B 2026-01-28_11-50-04.obj,7,79.19632193083847,4.447236180904523,2,315.589742250851,627.2817969879372,6800.7820954432245,13458.709309687547,336.8009416962491,140.33281182326826,311.6920547370862,315.589742250851,6800.7820954432245,6657.927214244322
data\obj\cancan07_B 2026-01-28_11-50-04.obj,8,87.96608413334938,4.939698492462311,2,294.793942199483,584.3408081700929,6129.681515136734,11763.598660296862,332.2041564508953,126.77202594471004,294.793942199483,289.54686597060993,6129.681515136734,5633.917145160129
data\obj\cancan07_B 2026-01-28_11-50-04.obj,9,96.7358463358603,5.432160804020099,2,283.07245710576535,559.6928872627464,5661.744118816714,10790.862252774124,328.3026474374998,119.54691838209388,283.07245710576535,276.62043015698106,5661.744118816714,5129.1181339574105
data\obj\cancan07_B 2026-01-28_11-50-04.obj,10,105.50560853837123,5.924623115577889,2,274.0816326167178,542.0621279699471,5323.003076154622,10078.225249998519,326.26744680771435,114.65042385202467,274.0816326167178,267.98049535322934,5323.003076154622,4755.222173843897
data\obj\cancan07_B 2026-01-28_11-50-04.obj,11,114.27537074088217,6.417085427135678,2,265.36935683213494,525.374509648545,5035.94365828851,9570.3160532646,325.03316665608463,110.04584858738045,265.36935683213494,260.0051528164101,5035.94365828851,4534.37239497609
data\obj\cancan07_B 2026-01-28_11-50-04.obj,12,123.04513294339309,6.909547738693467,2,257.83031546443146,509.7138128527588,4834.361327013743,9202.431952949832,323.7988865044549,106.26221378259302,257.83031546443146,251.8834973883273,4834.361327013743,4368.070625936089
data\obj\cancan07_B 2026-01-28_11-50-04.obj,13,131.81489514590402,7.402010050251255,2,255.71031446020584,503.64795199282247,4809.3431966384815,9127.169944674446,324.10804547012253,102.8341195320262,255.71031446020584,247.93763753261663,4809.3431966384815,4317.826748035965
data\obj\cancan07_B 2026-01-28_11-50-04.obj,14,140.58465734841494,7.894472361809044,2,254.53313547173914,501.84930696392445,4819.86908506311,9179.102872328978,326.8566700810443,101.15646523762051,254.53313547173914,247.3161714921853,4819.86908506311,4359.233787265868
data\obj\cancan07_B 2026-01-28_11-50-04.obj,15,149.35441955092588,8.386934673366834,2,254.2126183833975,502.91167208871946,4773.3131942132895,9251.978105283182,329.7003403024383,99.91918067781404,254.2126183833975,248.69905370532197,4773.3131942132895,4478.664911069893
data\obj\cancan07_B 2026-01-28_11-50-04.obj,16,158.1241817534368,8.879396984924623,2,255.2628925300581,506.0419985540928,4821.944543983307,9446.095695350683,332.8142988435793,98.68189611800759,255.2628925300581,250.7791060240347,4821.944543983307,4624.151151367376
data\obj\cancan07_B 2026-01-28_11-50-04.obj,17,166.89394395594772,9.371859296482413,2,258.13179105847377,511.31352848701613,4956.874857932242,9758.540656356956,336.1413309213385,98.02594891295557,258.13179105847377,253.18173742854236,4956.874857932242,4801.665798424714
data\obj\cancan07_B 2026-01-28_11-50-04.obj,18,175.66370615845864,9.8643216080402,2,263.5353029875703,519.4121793912997,5181.181368784091,10157.37326568841,339.17608771758614,98.23575408270946,263.5353029875703,255.87687640372937,5181.181368784091,4976.191896904318
data\obj\cancan07_B 2026-01-28_11-50-04.obj,19,184.43346836096958,10.35678391959799,2,268.90939326843466,529.6613439789367,5374.892678353324,10563.357762816173,341.4713299524444,98.15434072041064,268.90939326843466,260.751950710502,5374.892678353324,5188.465084462849
data\obj\cancan07_B 2026-01-28_11-50-04.obj,20,193.2032305634805,10.849246231155778,2,273.5959416367131,540.1939088324257,5565.198158918502,10994.316099300224,343.18944725656337,99.79423387304571,273.5959416367131,266.59796719571256,5565.198158918502,5429.117940381722
data\obj\cancan07_B 2026-01-28_11-50-04.obj,21,201.97299276599142,11.341708542713569,2,279.0013124161717,552.3903564507552,5817.341270173769,11561.415878143001,344.7059052488946,100.06377976563031,279.0013124161717,273.38904403458355,5817.341270173769,5744.074607969233
data\obj\cancan07_B 2026-01-28_11-50-04.obj,22,210.74275496850237,11.834170854271358,2,284.160945124522,565.2167801466599,6113.636866338071,12185.060562934596,347.7263921001154,100.31822949848711,284.160945124522,281.05583502213784,6071.423696596525,6113.636866338071
data\obj\cancan07_B 2026-01-28_11-50-04.obj,23,219.5125171710133,12.326633165829145,2,290.84316139824716,580.6188047148341,6513.775683392145,12858.62601350146,350.0151256184163,102.16094527414705,290.84316139824716,289.77564331658704,6344.850330109315,6513.775683392145
data\obj\cancan07_B 2026-01-28_11-50-04.obj,24,228.2822793735242,12.819095477386934,2,299.25450526208283,595.9106237563099,6843.205404453591,13574.89266004508,351.43998861523573,104.2030962446213,299.25450526208283,296.656118494227,6731.687255591489,6843.205404453591
data\obj\cancan07_B 2026-01-28_11-50-04.obj,25,237.05204157603512,13.311557788944722,2,307.96000986616787,610.9118654132149,7146.634694179578,14263.928708462918,352.6445313668813,106.34679471081175,307.96000986616787,302.95185554704705,7146.634694179578,7117.2940142833395
data\obj\cancan07_B 2026-01-28_11-50-04.obj,26,245.82180377854604,13.804020100502512,2,318.1595384083894,628.8780883989275,7598.173924888586,15095.41204080783,353.8490741185269,109.18252589371059,318.1595384083894,310.7185499905381,7598.173924888586,7497.238115919245
data\obj\cancan07_B 2026-01-28_11-50-04.obj,27,254.591565981057,14.296482412060302,2,327.2053141522747,646.9567289041481,8025.195149169915,15974.344837786339,355.2771480229291,110.22114295167658,327.2053141522747,319.7514147518734,8025.195149169915,7949.149688616424
data\obj\cancan07_B 2026-01-28_11-50-04.obj,28,263.3613281835679,14.788944723618089,2,335.7218254081784,663.9682836810846,8441.597405898428,16837.387857483132,358.02654718827534,112.94231601828196,335.7218254081784,328.24645827290624,8441.597405898428,8395.790451584704
data\obj\cancan07_B 2026-01-28_11-50-04.obj,29,272.1310903860788,15.281407035175878,2,346.3160815378005,683.22178389819,8954.888415422422,17835.63204493049,360.77594635362163,116.95349197241143,346.3160815378005,336.90570236038945,8954.888415422422,8880.74362950807
data\obj\cancan07_B 2026-01-28_11-50-04.obj,30,280.90085258858977,15.773869346733669,2,357.8455467702634,706.53285753562,9553.48067371035,19087.72654216613,363.5253455189679,120.96466792654093,357.8455467702634,348.68731076535653,9553.48067371035,9534.245868455779
data\obj\cancan07_B 2026-01-28_11-50-04.obj,31,289.67061479110066,16.266331658291456,2,367.3947963535121,728.7323629720906,10233.918870271867,20389.222793620283,366.2585943617413,124.04909563286836,367.3947963535121,361.3375666185786,10155.303923348416,10233.918870271867
data\obj\cancan07_B 2026-01-28_11-50-04.obj,32,298.4403769936116,16.758793969849247,2,377.7004917894514,750.4245873884684,10882.80395950521,21633.696010385174,370.2235320799057,127.68335459259615,377.7004917894514,372.7240955990169,10750.892050879964,10882.80395950521
data\obj\cancan07_B 2026-01-28_11-50-04.obj,33,307.21013919612255,17.251256281407034,2,387.2340475973869,771.1894046863354,11555.276610045505,22869.356418556577,371.96284424039027,131.74886554748338,387.2340475973869,383.9553570889485,11314.079808511073,11555.276610045505
data\obj\cancan07_B 2026-01-28_11-50-04.obj,34,315.97990139863344,17.74371859296482,2,395.8708244671902,789.3851133551426,12156.615614418566,23973.335311722578,373.24047597237137,135.70121413809952,395.8708244671902,393.51428888795243,11816.719697304012,12156.615614418566
data\obj\cancan07_B 2026-01-28_11-50-04.obj,35,324.7496636011444,18.236180904522612,2,402.54173689780856,804.6235121754344,12677.047939273907,24908.02234952138,374.6438563552262,139.01047075103435,402.54173689780856,402.08177527762587,12230.974410247472,12677.047939273907
data\obj\cancan07_B 2026-01-28_11-50-04.obj,36,333.5194258036553,18.728643216080396,2,408.33333854584544,815.5764888029381,13022.11526584714,25689.143521420796,376.04723673808104,141.7156702929576,408.33333854584544,407.2431502570927,12667.028255573656,13022.11526584714
data\obj\cancan07_B 2026-01-28_11-50-04.obj,37,342.2891880061662,19.22110552763819,2,413.40046358931085,824.1032555541738,13244.742989254271,26229.308996201726,376.250855330524,143.33772495000034,413.40046358931085,410.7027919648629,12984.566006947454,13244.742989254271
data\obj\cancan07_B 2026-01-28_11-50-04.obj,38,351.0589502086772,19.71356783919598,2,416.54454121552715,830.0969477126081,13439.519627466798,26622.284911887633,375.7213366126049,144.95977960704306,416.54454121552715,413.55240649708094,13182.765284420835,13439.519627466798
data\obj\cancan07_B 2026-01-28_11-50-04.obj,39,359.82871241118806,20.20603015075377,2,418.0695050962445,833.4420039038093,13547.62317859198,26852.564937024872,374.1576699030643,146.42810944205632,418.0695050962445,415.37249880756485,13304.941758432891,13547.62317859198
data\obj\cancan07_B 2026-01-28_11-50-04.obj,40,368.598474613699,20.698492462311556,2,417.6394128458319,832.2539559381468,13494.018787286579,26810.95374902572,373.0682566877259,147.04665754581086,417.6394128458319,414.6145430923149,13316.934961739142,13494.018787286579
data\obj\cancan07_B 2026-01-28_11-50-04.obj,41,377.36823681620996,21.190954773869347,2,415.50161917673347,828.1348540989334,13374.7653088339,26573.092996199557,370.8374091657996,147.84863214679766,415.50161917673347,412.63323492219985,13198.327687365658,13374.7653088339
data\obj\cancan07_B 2026-01-28_11-50-04.obj,42,386.13799901872085,21.683417085427134,2,412.90574676634964,823.4484346223907,13234.698577574047,26275.32767043427,367.9108198287509,148.7589355947464,412.90574676634964,410.542687856041,13040.629092860225,13234.698577574047
data\obj\cancan07_B 2026-01-28_11-50-04.obj,43,394.9077612212318,22.17587939698492,2,409.2987746956039,816.937752868469,13048.979797947948,25876.125398966695,364.9842304917021,148.75383413635222,409.2987746956039,407.63897817286505,12827.145601018747,13048.979797947948
data\obj\cancan07_B 2026-01-28_11-50-04.obj,44,403.67752342374274,22.668341708542716,2,405.09074899418516,809.1818898750745,12871.878945395656,25385.945670306475,362.0576411546533,148.45786762499375,404.0911408808893,405.09074899418516,12514.06672491082,12871.878945395656
