measurement,avatar,matlab,segmentation,slice,in_reference
abdomen_circumference_cm,False,False,True,True,False
ankle_circumference_left_cm,True,True,True,True,True
ankle_circumference_left_corrected_cm,True,True,False,False,True
ankle_circumference_right_cm,True,True,True,True,True
ankle_circumference_right_corrected_cm,True,True,False,False,True
arm_length_left_cm,True,True,True,True,True
arm_length_right_cm,True,True,True,True,True
arm_volume_left_cm3,False,True,True,True,True
arm_volume_right_cm3,False,True,True,True,True
bicep_circumference_left_cm,True,True,True,True,True
bicep_circumference_right_cm,True,True,True,True,True
calf_circumference_left_cm,True,True,True,True,True
calf_circumference_right_cm,True,True,True,True,True
chest_circumference_cm,True,True,True,True,True
collar_circumference_cm,False,False,True,True,False
collar_to_scalp_length_cm,True,True,True,False,True
collar_to_scalp_length_corrected_cm,True,True,False,False,True
forearm_circumference_left_cm,True,True,True,True,True
forearm_circumference_right_cm,True,True,True,True,True
head_circumference_cm,False,False,True,True,False
head_volume_cm3,False,True,True,False,True
height_cm,True,True,True,True,True
hip_circumference_cm,True,True,True,True,True
horizontal_waist_circumference_cm,False,False,True,True,False
inseam_left_cm,True,True,True,True,True
inseam_right_cm,True,True,True,True,True
leg_volume_left_cm3,False,True,True,True,True
leg_volume_right_cm3,False,True,True,True,True
mid_thigh_circumference_left_cm,False,False,True,True,False
mid_thigh_circumference_right_cm,False,False,True,True,False
narrow_waist_circumference_cm,False,False,True,True,False
outside_leg_length_left_cm,True,True,True,True,True
outside_leg_length_right_cm,True,True,True,True,True
seat_circumference_cm,False,False,True,True,False
surface_area_arm_left_cm2,True,True,True,True,True
surface_area_arm_right_cm2,True,True,True,True,True
surface_area_head_cm2,True,True,True,False,True
surface_area_leg_left_cm2,True,True,True,True,True
surface_area_leg_right_cm2,True,True,True,True,True
surface_area_torso_cm2,True,True,True,True,True
surface_area_total_cm2,True,True,True,True,True
thigh_circumference_left_cm,True,True,True,True,True
thigh_circumference_right_cm,True,True,True,True,True
torso_volume_cm3,False,True,True,True,True
trunk_length_cm,True,True,True,False,True
trunk_length_corrected_cm,True,True,False,False,True
upper_arm_circumference_left_cm,False,False,True,True,False
upper_arm_circumference_right_cm,False,False,True,True,False
volume_cm3,True,True,True,True,True
waist_circumference_cm,True,True,True,True,True
wrist_circumference_left_cm,True,True,True,False,True
wrist_circumference_right_cm,True,True,True,False,True
