xyz_1,xyz_2,xyz_3,xyz_4,xyz_5,xyz_6,xyz_7,xyz_8,xyz_9,xyz_10,xyz_11,xyz_12,xyz_13,xyz_14,xyz_15,xyz_16,xyz_17,xyz_18,xyz_19,xyz_20
2,4,2,5,2,5,9,1,4,2,4,3,2,9,10,10,4,1,4,10
4,10,10,2,8,0,9,0,8,10,7,2,6,4,1,2,8,9,5,8
10,4,6,5,8,0,0,6,5,6,4,10,0,7,2,3,3,9,6,2
0,9,10,6,8,6,3,5,4,0,7,0,2,5,8,1,3,2,4,8
1,1,5,7,7,4,3,4,0,10,9,1,0,9,4,4,6,2,6,7
6,10,9,14,13,15,14,10,10,9,5,6,6,15,15,8,15,6,12,15
5,14,7,15,15,15,12,15,7,15,12,5,11,11,15,6,13,10,11,12
14,5,15,13,6,15,12,7,7,12,12,14,9,14,8,11,8,10,14,10
13,7,10,5,12,13,5,9,12,14,13,14,13,11,8,7,15,10,12,12
14,5,14,11,7,9,9,9,8,7,5,5,9,7,9,8,14,8,12,12
