Code,Description
RIAGENDR,Gender
RIDAGEYR,Age (years)
RACETH,"Race (1, white; 2, black; 3, Mexican American; 4, other)"
bmxwt,Weight (kg)
bmxht,Standing height (cm)
bmxbmi,Body Mass Index (kg/m^2)
bmxwaist,Waist circumference (cm)
MEAN_SBP,n/a
MEAN_DBP,n/a
lbxglu,Fasting glucose (mg/dL)
lbxin,Insulin (uU/mL)
insulin,n/a
lbxtr,Triglyceride (mg/dL)
lbdldl,LDL - cholesterol (mg/dL)
lbxtc,Total cholesterol (mg/dL)
lbdhdl,HDL - Cholesterol (mg/dL)
phafsthr,"Total length of 'food fast', hours"
phdsesn,Session in which SP was examined
SMQ020,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?
SMQ040,{Do you/Does SP} now smoke cigarettes..
DIQ010,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?"
DIQ050,{Is SP/Are you} now taking insulin
DIQ070,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar? These are sometimes called oral agents or oral hypoglycemic agents.
MCQ160B,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had congestive heart failure?
MCQ160C,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had coronary (kor-o-nare-ee) heart disease?
MCQ160D,"Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had angina (an-gi-na), also called angina pectoris?"
MCQ160E,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had a heart attack (also called myocardial infarction (my-o-car-dee-al in-fark-shun))?
MCQ160F,Has a doctor or other health professional ever told {you/SP} that {you/s/he} . . .had a stroke?
MCQ220,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had cancer or a malignancy (ma-lig-nan-see) of any kind?
MCQ250A,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, brothers, sisters ever told by a health professional that they had . . .diabetes?"
MCQ250F,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, brothers, sisters ever told by a health professional that they had . . .high blood pressure or stroke before the age of 50?"
MCQ250G,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives including grandparents, parents, brothers, sisters ever told by a health professional that they had . . .heart attack or angina before the age of 50?"
BPQ020,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?"
BPQ030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?"
BPQ050A,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine
BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?
BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?
PAD020,"The next series of questions are about physical activities that {you/SP} {have/has} done over the past 30 days. First I will ask about activities that are related to transportation. Then I'll ask about physical activities that {you/he/she} do at school or in {your/his/her} leisure time. Over the past 30 days, {have/has} {you/SP} walked or bicycled as part of getting to and from work, or school, or to do errands?"
PAQ050Q,"[Over the past 30 days], how often did {you/SP} do this? [Walk or bicycle as part of getting to and from work, or school, or to do errands.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?"
PAQ050U,UNIT OF MEASURE.
PAD080,"On those days when {you/SP} walked or bicycled, about how long did {you/s/he} spend altogether doing this (minutes)?"
PAQ100,"Over the past 30 days, did {you/SP} do any tasks in or around {your/his/her} home or yard for at least 10 minutes that required moderate or greater physical effort? By moderate physical effort I mean, tasks that caused light sweating or a slight to moder ate increase in {your/his/her} heart rate or breathing. [Such as raking leaves, mowing the lawn or heavy cleaning.]"
PAD120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or yard, that is tasks requiring at least moderate effort? [Such as raking leaves, mowing the lawn or heavy cleaning.] PROBE: How many times per day, per week, or per month did {you/s/he} do these activities?"
PAD160,About how long did {you/SP} do these tasks each time (minutes)?
