file,landmark,x,y,z
A00-08-4914_A 2025-12-09_12-27-17.obj,r_wrist,-31.68571429,-3.591428571,76.08214286
A00-08-4914_A 2025-12-09_12-27-17.obj,l_wrist,32.510625,-1.36,77.09
A00-08-4914_A 2025-12-09_12-27-17.obj,r_armpit,-15.965508,nan,105.2491123
A00-08-4914_A 2025-12-09_12-27-17.obj,l_armpit,14.57959131,nan,105.8713629
A00-08-4914_A 2025-12-09_12-27-17.obj,r_hip,-18.66,4.53,74.96198198
A00-08-4914_A 2025-12-09_12-27-17.obj,l_hip,19.63,3.73,74.96198198
A00-08-4914_A 2025-12-09_12-27-17.obj,r_foot,-17.46,9.46,-0.01
A00-08-4914_A 2025-12-09_12-27-17.obj,l_foot,8.32,-2.39,-0.01
A00-08-4914_A 2025-12-09_12-27-17.obj,crotch,-0.53,4.9,68.48708811
A00-08-4914_A 2025-12-09_12-27-17.obj,l_ankle,10.3165,8.608,8.7215
A00-08-4914_A 2025-12-09_12-27-17.obj,r_ankle,-12.789375,8.10375,8.19
A00-08-4914_A 2025-12-09_12-27-17.obj,lShoulder,15.03,4.5,127.41
A00-08-4914_A 2025-12-09_12-27-17.obj,rShoulder,-16.19,4.25,125.49
A00-08-4914_A 2025-12-09_12-27-17.obj,collar,-0.58,4.375,126.45
A00-08-4914_A 2025-12-09_12-27-17.obj,lowerBack,0.7,20.03,76.38
A00-08-4914_A 2025-12-09_12-27-17.obj,nose_tip,-2.75,-5.58,140.08
A00-08-4914_B 2025-12-09_12-31-25.obj,r_wrist,-28.533125,-1.646875,74.820625
A00-08-4914_B 2025-12-09_12-31-25.obj,l_wrist,26.778125,-1.26375,77.904375
A00-08-4914_B 2025-12-09_12-31-25.obj,r_armpit,-14.94833229,nan,100.8665016
A00-08-4914_B 2025-12-09_12-31-25.obj,l_armpit,12.71201474,nan,100.9349695
A00-08-4914_B 2025-12-09_12-31-25.obj,r_hip,-19.01,3.35,75.15610619
A00-08-4914_B 2025-12-09_12-31-25.obj,l_hip,19.44,0.32,75.15610619
A00-08-4914_B 2025-12-09_12-31-25.obj,r_foot,-11.4,9.44,-0.03
A00-08-4914_B 2025-12-09_12-31-25.obj,l_foot,9.38,7.78,-0.02
