file,n_vertices,n_faces,units,warnings,height,chestGirth,waistGirth,hipGirth,rThighGirth,lThighGirth,rCalfGirth,lCalfGirth,rAnkleGirth,lAnkleGirth,rBicepGirth,lBicepGirth,rForearmGirth,lForearmGirth,rWristGirth,lWristGirth,rArmLength,lArmLength,rLegLength,lLegLength,trunkLength,crotchHeight,collarScalpLength,SA_total,SA_head,SA_trunk,SA_rArm,SA_lArm,SA_rleg,SA_lleg,SA_legs,VOL_total,rAnkleGirth_fixed,lAnkleGirth_fixed,trunkLength_fixed,collarScalpLength_fixed,seg_left_arm,seg_right_arm,seg_legs,seg_head,seg_trunk,seg_left_leg,seg_right_leg
A00-08-4914_A 2025-12-09_12-27-17.obj,5005,9998,cm,,154.66,91.29191269,84.09199329,106.8348027,58.681536,59.59611138,39.78127516,39.82852038,24.66456458,25.71729283,35.92258581,36.88832127,28.42013285,25.62901751,19.98976143,16.96879927,42.27421518,43.33304507,75.11113754,75.11113754,64.1121076,68.49708811,150.2902366,16189.53837,1557.463173,5109.460722,1696.203156,1602.200717,3376.36621,3542.039856,6823.279995,68354.32156,25.71729283,24.66456458,57.96293346,28.28108202,583,622,1894,630,1276,989,905
A00-08-4914_B 2025-12-09_12-31-25.obj,4997,9990,cm,,154.9,82.34750494,89.2612513,107.0553027,59.16369519,59.45362278,39.53706585,40.10286531,25.09305733,25.57792402,40.3395128,38.48103556,25.66012555,26.95550081,18.72041355,19.53642857,40.44454695,39.08392018,75.18289062,75.19288972,66.89491487,69.61660586,152.1624587,15942.95841,1492.04347,4812.038781,1764.681759,1728.728109,3414.825107,3458.293002,6810.010424,67868.01779,25.57792402,25.09305733,57.09484691,28.22325858,653,675,1888,604,1177,959,929
A00-09-0254 2025-12-10_10-37-18.obj,5005,9999,cm,,173.85,85.01379446,85.05956512,103.3911803,56.65597166,55.33422574,39.07834608,38.69871652,23.70154011,25.82695407,36.48912958,36.29926413,30.47153304,29.9424848,23.09688028,23.30678904,46.92825905,47.32127015,86.49334258,86.49334258,71.95719018,79.98864288,165.7805194,19146.21794,2050.145474,5321.790467,2153.258449,2157.700782,4298.458209,3981.599428,8233.037968,75201.21121,25.82695407,23.70154011,63.34015195,30.56781723,633,631,2037,587,1117,970,1067
A00-09-0254 2025-12-10_10-38-56.obj,4993,9986,cm,arm length asymmetry (44 vs 27),174.27,102.5772594,107.4554087,115.749066,58.50677069,54.90797326,39.28291926,38.20224601,23.474353,25.806394,43.45541517,4.949362458,31.50228142,14.18932918,20.70565707,14.35041921,44.46502581,27.25073876,87.47810439,87.48810411,72.97888932,78.20299806,168.9568266,18999.80691,1969.895569,6944.987749,2348.633311,294.8443207,4119.922195,4160.821984,8249.580124,76500.15863,25.806394,23.474353,48.12199117,48.59026086,82,732,2071,551,1557,1029,1042
A00-09-2104_A 2025-11-19_11-49-31.obj,5006,10000,cm,,164.44,107.6897155,112.8189982,119.4171214,63.58587789,62.23279383,37.78553167,43.68928014,29.68585426,31.38199082,36.53359728,37.26314396,26.28599028,29.35311243,20.43427758,22.33127719,40.10540428,41.46500827,86.5975848,86.5975848,79.56029651,80.0697433,163.9269521,18702.96745,1864.758705,5874.76135,1608.480925,1701.855548,4230.038793,4223.82775,8370.753604,87325.32477,31.38199082,29.68585426,56.18812013,28.20134926,532,498,2230,560,1186,1065,1165
A00-09-2104_B 2025-11-19_11-54-21.obj,5007,9999,cm,,164.4,106.4334895,113.9180633,120.2908639,62.2381448,61.73204543,38.74053636,38.99316695,29.90486473,31.6502544,36.4069472,37.96917547,26.37070012,30.83901994,19.39027654,24.00821249,39.74499957,39.24221023,86.48367238,86.49366125,73.34601967,77.07888183,160.6723804,18977.73906,1891.008022,5961.9764,1586.717913,1756.571042,4393.670832,4102.460045,8441.378829,87512.98344,31.6502544,29.90486473,58.89878043,28.46668623,551,475,2189,593,1198,1040,1149
CanCan011_A 2026-03-10_13-12-57.obj,5002,10000,cm,,168.38,87.95873093,85.65112528,108.6724186,56.73990331,56.05095228,36.07666307,34.36771676,23.536727,24.41841932,30.08386163,29.8379569,23.96645087,23.30632372,16.21341648,14.3204878,46.90250175,45.44656812,87.0655611,87.0655611,78.94064282,79.86937188,167.4557227,17231.2643,1613.683684,5341.641027,1741.746065,1646.649167,3885.705548,3772.25683,7631.58814,68040.02266,24.41841932,23.536727,63.11347182,25.47557752,601,611,2020,534,1235,1009,1011
CanCan011_B 2026-03-10_13-17-36.obj,5002,10000,cm,,168.86,91.18299591,83.36325198,108.7460788,57.25329375,55.7078156,36.17488795,36.455244,24.29133457,25.05839639,29.83258625,29.59089371,22.79310804,23.77952245,15.13725556,14.01726825,49.61155446,45.23767383,86.75622076,86.75622076,84.40649315,83.71486041,169.5526335,17318.40549,1727.117069,5237.50989,1691.894339,1509.483123,3953.496979,3887.829382,7818.043267,68314.48922,25.05839639,24.29133457,58.74248568,26.42190474,546,579,2134,572,1171,1108,1026
CanCan01_A 2025-10-27_11-10-43.obj,5002,10000,cm,crotch at 36% of height (expect ~45),157.37,133.0531991,138.4672592,118.3280884,69.92371634,64.09222667,47.65837107,47.43799536,28.16639372,29.52803941,43.16046591,42.27510666,30.76614056,25.51654416,24.9586838,20.66097428,33.17578665,44.01109124,68.07083445,68.0808329,49.12065117,56.15006486,150.3437368,20179.30503,2300.969293,8806.538463,1788.492307,1747.130995,3351.542945,3207.470734,6489.420611,119924.5502,29.52803941,28.16639372,71.82533611,29.41410588,510,503,1547,637,1804,743,804
CanCan01_B 2025-10-27_11-22-43.obj,5002,10000,cm,,156.37,134.0274239,139.1923573,127.6694577,72.1430489,73.49559372,48.34781562,47.39368019,28.46088555,30.09842217,41.52097586,42.5458435,26.52776678,25.73400772,25.72281601,22.85435865,43.3706917,44.1228414,73.75110136,73.74110323,57.93871303,64.57727821,149.7058687,20358.0723,2349.909414,7822.161958,1764.117897,1825.382097,3773.706176,3819.321389,7526.404151,120804.6642,30.09842217,28.46088555,61.63257162,30.18930812,529,510,1752,666,1544,904,848
