slice,n_points,plane,girth,units,frame,hull_points
rWrist,35,59.152380,19.989761,cm,arm-aligned,13
lWrist,32,58.860606,16.968799,cm,arm-aligned,15
hip,111,74.961982,106.834803,cm,upright,41
waist,78,90.105547,84.091993,cm,upright,29
rAnkle,42,7.650859,25.717293,cm,upright,15
lAnkle,40,8.439476,24.664565,cm,upright,19
lCalf,52,30.226232,39.827901,cm,shank-aligned,24
rCalf,56,29.987625,39.820634,cm,shank-aligned,26
rThigh,54,58.326018,58.819051,cm,upright,26
lThigh,65,58.397611,59.596111,cm,upright,20
rForearm,44,69.717627,27.682796,cm,arm-aligned,20
lForearm,41,67.868525,25.629969,cm,arm-aligned,18
rBicep,48,90.944883,35.933436,cm,arm-aligned,18
lBicep,54,89.593804,36.790079,cm,arm-aligned,22
chest,96,105.560238,91.291913,cm,upright,37
